t,x,y,z
42.96,-4.3948970114,3.82906893987,32.011881714
42.968,-3.73708500206,3.93948907724,31.1943695437
42.976,-3.12305733587,4.00347318496,30.4111454347
42.984,-2.55302611379,4.03168611157,29.6623816703
42.992,-2.02633342008,4.03338542601,28.947270708
43.0,-1.54163347679,4.01647450353,28.2643742015
43.008,-1.09705598215,3.98760371439,27.6118932732
43.016,-0.690348290071,3.95229725114,26.9878691801
43.024,-0.318996072637,3.91508968621,26.390325774
43.032,0.0196765917735,3.87966169753,25.817365419
43.04,0.328425992425,3.84896846953,25.2672291384
43.048,0.610024327649,3.82535720342,24.7383302944
43.056,0.86720980145,3.81067216371,24.2292694566
43.064,1.10264911411,3.80634697149,23.7388365189
43.072,1.31891033537,3.81348462661,23.2660047024
43.08,1.51844434812,3.83292616113,22.8099198835
43.088,1.70357326779,3.86530901626,22.3698877154
43.096,1.87648445745,3.91111628147,21.945360255
43.104,2.03922896009,3.97071789659,21.5359232309
43.112,2.19372335195,4.04440483479,21.141284664
43.12,2.34175418185,4.13241717987,20.7612652487
43.128,2.48498430121,4.23496690061,20.3957906926
43.136,2.62496050938,4.35225601476,20.0448860739
43.144,2.76312204043,4.48449073009,19.7086721847
43.152,2.90080950208,4.63189205083,19.3873637826
43.16,3.03927394813,4.79470324523,19.0812696409
43.168,3.1796858224,4.973194482,18.7907942827
43.176,3.32314355826,5.16766486141,18.5164412788
43.184,3.47068165264,5.37844198662,18.2588179948
43.192,3.62327806002,5.60587914496,18.0186416716
43.2,3.78186076952,5.85035009333,17.7967467218
43.208,3.94731343877,6.11224136861,17.5940931147
43.216,4.12047996208,6.39194197111,17.4117757008
43.224,4.30216784808,6.68983019752,17.2510342949
43.232,4.49315027396,7.00625733028,17.1132642875
43.24,4.6941666707,7.34152782362,17.000027484
43.248,4.90592167671,7.69587556628,16.9130627834
43.256,5.12908227646,8.06943574964,16.8542961869
43.264,5.36427291779,8.46221183422,16.8258494811
43.272,5.61206837749,8.8740370943,16.8300467566
43.28,5.87298412163,9.30453024054,16.8694177029
43.288,6.14746388736,9.75304468704,16.9466963614
43.296,6.4358641999,10.21861116,17.0648137192
43.304,6.73843553754,10.6998735616,17.2268821945
43.312,7.05529987306,11.1950183296,17.4361697104
43.32,7.38642436119,11.701698,17.696060692
43.328,7.7315910168,12.2169503184,18.0100009926
43.336,8.09036234833,12.7371150858,18.3814234967
43.344,8.46204308889,13.2577519882,18.8136510302
43.352,8.84563841576,13.7735639657,19.3097733214
43.36,9.23980938231,14.2783322012,19.8724952124
43.368,9.64282671473,14.7648705187,20.5039542471
43.376,10.0525246569,15.2250087542,21.2055073253
43.384,10.4662571769,15.6496163315,21.977488437
43.392,10.8808595622,16.0286785747,22.8189427207
43.4,11.2926191912,16.351438835,23.7273462535
43.408,11.6972600098,16.6066188549,24.6983260124
43.416,12.0899458776,16.7827273991,25.7254000762
43.424,12.4653083317,16.8684625279,26.7997638272
43.432,12.817504307,16.8532055835,27.9101528455
43.44,13.1403087522,16.7275948789,29.0428162037
43.448,13.427245725,16.4841545999,30.1816336242
43.456,13.6717593066,16.1179405766,31.308405051
43.464,13.8674224971,15.6271511644,32.4033305237
43.472,14.0081782659,15.0136410132,33.445681458
43.48,14.0886024158,14.2832709581,34.4146423206
43.488,14.1041734074,13.4460314241,35.2902765283
43.496,14.051530473,12.5158914605,36.0545459562
43.504,13.9286990082,11.5103508341,36.6922945394
43.512,13.7352621091,10.4497061634,37.1920979614
43.52,13.4724596885,9.35607901371,37.5468870248
43.528,13.1432019242,8.2522876378,37.7542730983
43.536,12.751991385,7.16066775526,37.8165378109
43.544,12.3047570636,6.10195610811,37.7402904458
43.552,11.808612383,5.09434132003,37.5358376735
43.56,11.2715566406,4.15276156832,37.2163435848
43.568,10.7021441554,3.28849299441,36.7968775175
43.576,10.1091469573,2.50903391153,36.2934503529
43.584,9.50123519506,1.81825502567,35.7221279964
43.592,8.88669512366,1.21676057513,35.0982878999
43.6,8.27319853494,0.702392156825,34.4360565233
43.608,7.66763093101,0.270805737869,33.7479382499
43.616,7.07597959492,-0.0839395849314,33.0446237509
43.624,6.5032777075,-0.368828747753,32.3349504199
43.632,5.95359715404,-0.591405647913,31.6259796288
43.64,5.43008070592,-0.759372691201,30.923154124
43.648,4.93500365915,-0.880279477605,30.2305020838
43.656,4.46985544384,-0.961296233057,29.5508602457
43.664,4.03543282843,-1.00906206782,28.8860954167
43.672,3.63193780626,-1.02959547101,28.2373103796
43.68,3.25907481171,-1.02825390103,27.6050259897
43.688,2.91614339249,-1.00973016742,26.9893357881
